23/03/21 00:28:15 824 [info]:  >> Connection 임대됨 [threadId=955]
23/03/21 00:28:15 830 [info]:  >> Connection 반납됨 [threadId=955]
23/03/21 00:30:42 472 [info]:  >> DB 접속됨 [threaId=959]
23/03/21 00:30:42 474 [info]:  >> Connection 임대됨 [threadId=959]
23/03/21 00:30:42 482 [info]:  >> Connection 반납됨 [threadId=959]
23/03/21 00:30:43 143 [info]:  >> Connection 임대됨 [threadId=959]
23/03/21 00:30:43 145 [info]:  >> Connection 반납됨 [threadId=959]
23/03/21 00:30:43 611 [info]:  >> Connection 임대됨 [threadId=959]
23/03/21 00:30:43 614 [info]:  >> Connection 반납됨 [threadId=959]
23/03/21 00:30:45 426 [info]:  >> Connection 임대됨 [threadId=959]
23/03/21 00:30:45 428 [info]:  >> Connection 반납됨 [threadId=959]
23/03/21 00:30:52 232 [info]:  >> Connection 임대됨 [threadId=959]
23/03/21 00:30:52 237 [info]:  >> Connection 반납됨 [threadId=959]
23/03/21 00:30:52 251 [info]:  >> Connection 임대됨 [threadId=959]
23/03/21 00:30:52 253 [info]:  >> Connection 반납됨 [threadId=959]
23/03/21 00:30:56 179 [info]:  >> Connection 임대됨 [threadId=959]
23/03/21 00:30:56 181 [info]:  >> Connection 반납됨 [threadId=959]
23/03/21 00:32:25 308 [info]:  >> DB 접속됨 [threaId=961]
23/03/21 00:32:25 312 [info]:  >> Connection 임대됨 [threadId=961]
23/03/21 00:32:25 316 [info]:  >> Connection 반납됨 [threadId=961]
23/03/21 00:32:27 810 [info]:  >> Connection 임대됨 [threadId=961]
23/03/21 00:32:27 817 [info]:  >> Connection 반납됨 [threadId=961]
23/03/21 00:32:27 821 [info]:  >> Connection 임대됨 [threadId=961]
23/03/21 00:32:27 823 [info]:  >> Connection 반납됨 [threadId=961]
23/03/21 00:32:27 826 [info]:  >> Connection 임대됨 [threadId=961]
23/03/21 00:32:27 828 [info]:  >> Connection 반납됨 [threadId=961]
23/03/21 00:32:27 831 [info]:  >> Connection 임대됨 [threadId=961]
23/03/21 00:32:27 833 [info]:  >> Connection 반납됨 [threadId=961]
23/03/21 00:32:35 032 [info]:  >> Connection 임대됨 [threadId=961]
23/03/21 00:32:35 034 [info]:  >> Connection 반납됨 [threadId=961]
23/03/21 00:32:35 038 [info]:  >> Connection 임대됨 [threadId=961]
23/03/21 00:32:35 040 [info]:  >> Connection 반납됨 [threadId=961]
23/03/21 00:32:35 044 [info]:  >> Connection 임대됨 [threadId=961]
23/03/21 00:32:35 045 [info]:  >> Connection 반납됨 [threadId=961]
23/03/21 00:32:35 048 [info]:  >> Connection 임대됨 [threadId=961]
23/03/21 00:32:35 050 [info]:  >> Connection 반납됨 [threadId=961]
23/03/21 00:33:06 967 [info]:  >> Connection 임대됨 [threadId=961]
23/03/21 00:33:06 968 [info]:  >> Connection 반납됨 [threadId=961]
23/03/21 00:33:06 971 [info]:  >> Connection 임대됨 [threadId=961]
23/03/21 00:33:06 973 [info]:  >> Connection 반납됨 [threadId=961]
23/03/21 00:33:06 977 [info]:  >> Connection 임대됨 [threadId=961]
23/03/21 00:33:06 978 [info]:  >> Connection 반납됨 [threadId=961]
